Id_Advice,Id_Sample,F1-Score,Accuracy,Number_Conflicts
285,3191,87.00565338134766,77.62682342529297,30494
286,3193,87.00565338134766,77.36502075195312,30034
287,3194,86.36363983154297,76.13440704345703,30050
288,3452,87.00565338134766,77.45659637451172,29710
289,3453,87.00565338134766,77.00325012207031,29466
290,3454,87.00565338134766,77.29500579833984,30423
291,3625,87.00565338134766,77.15750122070312,30240
292,3626,86.36363983154297,76.99742889404297,29841
293,3628,87.64044952392578,78.27355194091797,30539
294,3964,87.00565338134766,77.89424133300781,29922
295,3965,87.64044952392578,78.99156188964844,29800
296,3968,86.36363983154297,76.94280242919922,30463
297,3969,88.88888549804688,80.1706771850586,29524
298,3970,87.64044952392578,78.83997344970703,30189
299,3972,86.36363983154297,76.37957763671875,29501
300,3974,87.64044952392578,78.462158203125,30105
301,3975,85.71428680419922,75.3790283203125,30673
302,3976,87.00565338134766,77.97058868408203,31000
303,3977,86.36363983154297,76.18785095214844,30137
304,3983,87.00565338134766,77.80126953125,30396
305,3984,84.39306640625,73.48069763183594,27287
306,3987,87.00565338134766,77.34407806396484,30528
307,3988,86.36363983154297,76.17579650878906,30290
308,3989,86.36363983154297,76.01487731933594,29966
309,3991,85.71428680419922,75.96617126464844,30314
310,3994,87.64044952392578,78.5551986694336,30303
311,2164,85.71428680419922,75.30119323730469,30896
312,2165,87.64044952392578,78.45496368408203,29655
313,2167,87.64044952392578,78.22171020507812,30104
314,2168,86.36363983154297,76.2943344116211,29997
315,2170,87.00565338134766,77.03459930419922,30184
316,2172,85.71428680419922,75.38432312011719,30717
317,2173,87.00565338134766,77.79524993896484,30148
318,2176,86.36363983154297,76.71125030517578,30584
319,2177,86.36363983154297,76.90382385253906,31236
320,2180,86.36363983154297,76.8006362915039,30466
321,2181,87.64044952392578,78.50408172607422,30130
322,2182,87.64044952392578,78.42089080810547,29178
323,2183,87.00565338134766,77.46817779541016,30326
324,2184,87.64044952392578,78.27064514160156,30035
325,2185,86.36363983154297,76.88278198242188,29453
326,2186,88.26815795898438,79.87385559082031,29539
327,2187,87.64044952392578,78.14421081542969,30095
328,2188,87.64044952392578,78.21588897705078,30511
329,2189,87.00565338134766,77.53157806396484,30326
330,2191,86.36363983154297,76.03994750976562,30365
331,2229,85.71428680419922,75.9275131225586,30016
332,2230,87.64044952392578,78.18812561035156,29763
333,2264,85.71428680419922,75.7330093383789,30011
334,2265,87.64044952392578,78.60482788085938,30088
335,2266,87.00565338134766,77.45570373535156,29729
336,2267,86.36363983154297,76.82652282714844,29831
337,2268,86.36363983154297,76.14118957519531,29812
338,2269,87.00565338134766,77.97252655029297,30262
339,2270,87.64044952392578,78.34951782226562,30724
340,2274,87.00565338134766,77.86564636230469,30214
341,2275,87.00565338134766,77.02457427978516,30120
342,2276,87.64044952392578,78.47773742675781,30094
343,2277,87.64044952392578,78.7467041015625,28933
344,2278,87.00565338134766,77.14696502685547,30082
345,2282,88.26815795898438,79.14019012451172,29713
346,2285,87.00565338134766,77.71605682373047,29394
347,2286,85.71428680419922,75.51644134521484,30591
348,2287,86.36363983154297,76.35697174072266,30453
349,2289,88.88888549804688,80.20398712158203,29558
350,2290,86.36363983154297,76.16097259521484,30016
351,2291,87.64044952392578,78.71495819091797,29632
352,3032,87.00565338134766,77.11289978027344,29994
353,3033,87.64044952392578,78.08675384521484,30080
354,3035,87.64044952392578,78.6152572631836,29871
355,2622,86.36363983154297,76.64738464355469,30010
356,2623,87.64044952392578,78.20274353027344,29892
357,2624,85.71428680419922,75.72330474853516,30427
358,2625,85.71428680419922,75.9300765991211,30323
359,2626,86.36363983154297,76.83273315429688,29504
360,2660,88.88888549804688,80.16563415527344,30058
361,2662,87.64044952392578,78.8655014038086,29798
362,2664,87.64044952392578,78.83670806884766,29543
363,2668,87.64044952392578,78.66111755371094,29999
364,2669,85.71428680419922,75.25469970703125,30333
365,2670,88.26815795898438,79.04964447021484,29434
366,2671,88.26815795898438,79.66834259033203,29601
367,2673,87.00565338134766,77.64262390136719,30257
368,2674,87.64044952392578,78.03720092773438,30338
369,2675,85.71428680419922,75.64217376708984,29983
370,2676,85.71428680419922,75.81877136230469,30293
371,2679,87.00565338134766,77.00773620605469,29508
372,2680,87.64044952392578,78.13282775878906,29815
373,2681,86.36363983154297,76.88652801513672,30298
374,2682,85.71428680419922,75.50543975830078,27799
375,2683,87.00565338134766,77.0310287475586,30602
376,3458,87.00565338134766,77.83857727050781,30147
377,3461,87.00565338134766,77.90093994140625,30253
378,3462,88.26815795898438,79.85013580322266,29755
379,3463,86.36363983154297,76.59062194824219,30023
380,3466,86.36363983154297,76.40647888183594,29766
381,3467,86.36363983154297,76.4619140625,29809
382,3468,85.0574722290039,74.96633911132812,30810
383,3470,85.71428680419922,75.8397445678711,30142
384,3471,85.71428680419922,75.39378356933594,30236
385,3472,86.36363983154297,76.80728149414062,29827
386,3473,87.64044952392578,78.90296173095703,28758
387,3474,87.00565338134766,77.99966430664062,30660
388,3475,87.64044952392578,78.4295654296875,30021
389,3476,87.64044952392578,78.45954132080078,29077
390,3477,87.64044952392578,78.59095001220703,29325
391,3478,86.36363983154297,76.63654327392578,31004
392,3479,86.36363983154297,76.36935424804688,30389
393,3547,87.00565338134766,77.27638244628906,30102
394,3195,87.64044952392578,78.52825164794922,29710
395,3196,85.0574722290039,74.75711822509766,27731
396,3199,86.36363983154297,76.33460998535156,30549
397,3629,87.64044952392578,78.09632110595703,30340
398,3336,85.71428680419922,75.89729309082031,30680
399,3633,87.00565338134766,77.7630386352539,30282
400,3337,86.36363983154297,76.62576293945312,30082
401,3634,87.64044952392578,78.68974304199219,29758
402,3338,85.71428680419922,75.58951568603516,30453
403,3635,87.64044952392578,78.13491821289062,29806
404,3339,87.00565338134766,77.82353210449219,30196
405,3636,87.00565338134766,77.17489624023438,30840
406,3340,87.00565338134766,77.89935302734375,30394
407,3637,86.36363983154297,76.41195678710938,30190
408,3341,88.88888549804688,80.02569580078125,29248
409,3638,87.00565338134766,77.2345962524414,30664
410,3343,87.00565338134766,77.2529525756836,30237
411,3639,87.64044952392578,78.31781768798828,30057
412,3345,87.64044952392578,78.99030303955078,29960
413,3640,87.64044952392578,78.50082397460938,29594
414,3347,86.36363983154297,76.7596664428711,29628
415,3641,88.26815795898438,79.13646697998047,29336
416,3348,86.36363983154297,76.07088470458984,29728
417,3642,85.71428680419922,75.8433609008789,30264
418,3349,87.64044952392578,78.64555358886719,29808
419,3643,87.64044952392578,78.31057739257812,30686
420,3352,84.39306640625,73.79910278320312,27811
421,3645,87.00565338134766,77.82854461669922,30891
422,3354,86.36363983154297,76.76313018798828,31452
423,3646,86.36363983154297,76.45986938476562,29794
424,3356,87.00565338134766,77.09147644042969,30425
425,3647,85.71428680419922,75.09019470214844,30882
426,3357,88.26815795898438,79.12715148925781,29696
427,3649,86.36363983154297,76.04300689697266,29969
428,3358,86.36363983154297,76.62542724609375,29661
429,3650,87.64044952392578,78.67975616455078,30759
430,3450,87.64044952392578,78.22357177734375,30538
431,3652,87.64044952392578,78.36053466796875,30122
432,3653,87.64044952392578,78.18107604980469,30438
433,3654,86.36363983154297,76.61026000976562,29802
434,3655,87.00565338134766,77.56132507324219,30779
435,3656,86.36363983154297,76.18579864501953,30024
436,3657,87.00565338134766,77.53466033935547,30657
437,3658,87.64044952392578,78.21410369873047,30508
438,3659,87.00565338134766,77.09036254882812,30653
439,3660,86.36363983154297,76.23184204101562,29592
